Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price,First Class Seats Sold,Business Class Seats Sold,Main Class Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Class Revenue
Domestic,3/23/23,55,23761,LAX,Logan International Airport,4538,BOS,629,200,5:30 AM,326,0,true,2269,-3,7:56 AM,3/23/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,105,61,13,Los Angeles International Airport,37,Boston,1341,0,16,45,0,10064,9000
Domestic,3/23/23,88,23862,LAX,Logan International Airport,4538,BOS,643,479,8:25 AM,326,0,true,2269,-3,10:51 AM,3/23/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,133,62,8,Los Angeles International Airport,37,Boston,1292,0,13,10,0,8359,4790
Domestic,3/23/23,83,23063,LAX,Logan International Airport,4538,BOS,1193,535,12:10 PM,326,0,true,2269,-3,2:36 PM,3/23/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,132,63,10,Los Angeles International Airport,39,Boston,1242,5,9,9,6210,10737,4815
Domestic,3/23/23,93,23164,BOS,Los Angeles International Airport,4538,LAX,1050,399,5:30 AM,326,0,true,2269,3,1:56 PM,3/23/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,152,64,11,Boston Logan International Airport,48,Los Angeles,2885,0,0,9,0,0,3591
Domestic,3/23/23,78,23265,BOS,Los Angeles International Airport,4538,LAX,849,201,8:25 AM,326,0,true,2269,3,4:51 PM,3/23/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,144,65,10,Boston Logan International Airport,56,Los Angeles,1222,2,3,20,2444,2547,4020
Domestic,3/23/23,85,23366,BOS,Los Angeles International Airport,4538,LAX,1119,447,12:10 PM,326,0,true,2269,3,8:36 PM,3/23/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,141,66,9,Boston Logan International Airport,47,Los Angeles,1469,2,5,17,2938,5595,7599
International,3/23/23,75,23467,CUN,El Paso International Airport,3687,ELP,3442,1022,5:30 AM,190,4,false,1229,2,10:40 AM,3/23/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,134,67,8,Cancun International Airport,51,El Paso,4551,1,3,26,4555,10338,26676
International,3/23/23,74,23568,CUN,El Paso International Airport,3687,ELP,4419,1194,8:25 AM,190,4,false,1229,2,1:35 PM,3/23/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,134,68,12,Cancun International Airport,48,El Paso,9904,0,15,13,0,66345,15574
International,3/23/23,70,23669,CUN,El Paso International Airport,3687,ELP,5301,836,12:10 PM,190,4,false,1229,2,5:20 PM,3/23/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,129,69,15,Cancun International Airport,44,El Paso,12267,0,2,16,0,10610,13440
International,3/23/23,96,23770,ELP,Cancun International Airport,3687,CUN,3600,734,5:30 AM,190,4,true,1229,-2,6:40 AM,3/23/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,156,70,10,El Paso International Airport,50,Cancun,7643,0,1,3,0,3604,2214
International,3/23/23,89,23871,ELP,Cancun International Airport,3687,CUN,4942,1202,8:25 AM,190,4,true,1229,-2,9:35 AM,3/23/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,148,71,13,El Paso International Airport,46,Cancun,10012,0,0,4,0,0,4824
International,3/23/23,79,23072,ELP,Cancun International Airport,3687,CUN,4984,968,12:10 PM,190,4,true,1229,-2,1:20 PM,3/23/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,136,72,8,El Paso International Airport,49,Cancun,3956,0,2,19,0,9976,18468
International,3/23/23,89,23173,YYZ,El Paso International Airport,4347,ELP,5213,975,5:30 AM,219,4,false,1449,2,11:09 AM,3/23/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,146,73,11,Toronto Pearson International Airport,46,El Paso,9751,0,0,8,0,0,7832
International,3/23/23,81,23274,YYZ,El Paso International Airport,4347,ELP,5438,707,8:25 AM,219,4,false,1449,2,2:04 PM,3/23/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,133,74,15,Toronto Pearson International Airport,37,El Paso,5815,0,4,23,0,21768,16353
International,3/23/23,78,23375,YYZ,El Paso International Airport,4347,ELP,4938,1184,12:10 PM,219,4,false,1449,2,5:49 PM,3/23/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,131,75,8,Toronto Pearson International Airport,45,El Paso,7476,0,0,8,0,0,9504
International,3/23/23,90,23476,ELP,Toronto Pearson International Airport,4347,YYZ,3042,1166,5:30 AM,219,4,true,1449,-2,7:09 AM,3/23/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,157,76,11,El Paso International Airport,56,Toronto,13334,0,8,12,0,24368,14040
International,3/23/23,87,23577,ELP,Toronto Pearson International Airport,4347,YYZ,3418,931,8:25 AM,219,4,true,1449,-2,10:04 AM,3/23/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,157,77,11,El Paso International Airport,59,Toronto,10488,0,3,2,0,10266,1870
International,3/23/23,96,23678,ELP,Toronto Pearson International Airport,4347,YYZ,5077,1225,12:10 PM,219,4,true,1449,-2,1:49 PM,3/23/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,166,78,12,El Paso International Airport,58,Toronto,5555,0,5,6,0,25405,7374
International,3/24/23,101,23779,CDG,El Paso International Airport,13986,ELP,2736,1057,5:30 AM,639,12,false,4662,8,12:09 AM,3/23/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,155,79,13,Paris Charles de Gaulle Airport,41,El Paso,7274,0,11,1,0,30228,1069
International,3/24/23,80,23880,CDG,El Paso International Airport,13986,ELP,5711,917,8:25 AM,639,12,false,4662,8,3:04 AM,3/23/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,147,80,14,Paris Charles de Gaulle Airport,53,El Paso,12180,0,0,22,0,0,20438
International,3/24/23,81,23081,CDG,El Paso International Airport,13986,ELP,3025,1091,12:10 PM,639,12,false,4662,8,6:49 AM,3/23/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,139,81,8,Paris Charles de Gaulle Airport,50,El Paso,11176,0,13,12,0,39481,13236
International,3/23/23,88,23182,ELP,Paris Charles de Gaulle Airport,13986,CDG,3361,733,5:30 AM,639,12,true,4662,-8,8:09 AM,3/23/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,147,82,14,El Paso International Airport,45,Paris,10284,0,3,3,0,10119,2235
International,3/23/23,76,23283,ELP,Paris Charles de Gaulle Airport,13986,CDG,4382,1222,8:25 AM,639,12,true,4662,-8,11:04 AM,3/23/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,130,83,13,El Paso International Airport,41,Paris,10020,0,4,11,0,17576,13574
International,3/23/23,92,23384,ELP,Paris Charles de Gaulle Airport,13986,CDG,5792,1052,12:10 PM,639,12,true,4662,-8,2:49 PM,3/23/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,153,84,10,El Paso International Airport,51,Paris,13216,0,0,5,0,0,5320
International,3/24/23,85,23485,HND,El Paso International Airport,15966,ELP,3401,1155,5:30 AM,725,14,false,5322,16,9:35 AM,3/23/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,136,85,10,Tokyo Haneda Airport,41,El Paso,5291,0,6,11,0,20490,12859
International,3/24/23,84,23586,HND,El Paso International Airport,15966,ELP,4346,899,8:25 AM,725,14,false,5322,16,12:30 PM,3/23/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,141,86,15,Tokyo Haneda Airport,42,El Paso,12081,0,3,7,0,13080,6391
International,3/24/23,83,23687,HND,El Paso International Airport,15966,ELP,3456,1125,12:10 PM,725,14,false,5322,16,4:15 PM,3/23/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,142,87,12,Tokyo Haneda Airport,47,El Paso,4575,0,0,16,0,0,18224
International,3/23/23,98,23788,ELP,Tokyo Haneda Airport,15966,HND,3763,739,5:30 AM,725,14,true,5322,-16,1:35 AM,3/23/23,Honshu,Japan,6.0,El Paso,true,Texas,United States,3.5,false,51367,160,88,15,El Paso International Airport,47,Tokyo,5990,0,0,6,0,0,4518
